,call_type,unit_type,latitude,longitude
2375,Alarms,CHIEF,37.7592202976,-122.4633116072
2372,Alarms,TRUCK,37.747999680999996,-122.42082186489999
7502,Alarms,ENGINE,37.7581366017,-122.4488072984
6707,Alarms,CHIEF,37.7883420975,-122.4075754526
6687,Alarms,TRUCK,37.7983839597,-122.4183554775
7509,Alarms,TRUCK,37.7570337297,-122.476758437
7510,Alarms,TRUCK,37.768462245900004,-122.4312048785
2359,Alarms,TRUCK,37.7236442721,-122.4545988592
6679,Alarms,TRUCK,37.751954442199995,-122.4222319034
7519,Alarms,ENGINE,37.7911511887,-122.4343618671
7520,Alarms,TRUCK,37.7974647217,-122.4146678321
6677,Alarms,ENGINE,37.7868893006,-122.4492823634
6675,Alarms,TRUCK,37.7459562954,-122.4542399076
6672,Alarms,CHIEF,37.7943459009,-122.4002623919
3130,Alarms,CHIEF,37.7829534931,-122.41324374870001
3108,Alarms,CHIEF,37.7356359706,-122.41846588969999
7473,Alarms,ENGINE,37.7807577537,-122.4913020547
6712,Alarms,TRUCK,37.7894926602,-122.410269519
7430,Alarms,TRUCK,37.7868893006,-122.4492823634
2447,Alarms,TRUCK,37.7865888591,-122.4016922926
6739,Alarms,TRUCK,37.7808662106,-122.42880323799999
7432,Alarms,ENGINE,37.7883420975,-122.4075754526
2444,Alarms,ENGINE,37.7812876871,-122.4113180554
7434,Alarms,CHIEF,37.7983839597,-122.4183554775
2441,Alarms,TRUCK,37.7693772648,-122.4295114291
3081,Alarms,TRUCK,37.805391239,-122.4448002008
6734,Alarms,ENGINE,37.7838427739,-122.42276736379999
2433,Alarms,TRUCK,37.7877559111,-122.39070075389999
2432,Alarms,ENGINE,37.7700629447,-122.45024394049999
7445,Alarms,CHIEF,37.7807577537,-122.4913020547
