,call_type,latitude,longitude
3565,Alarms,37.783167663899995,-122.39782549530001
3580,Alarms,37.7788798213,-122.43356996360001
3582,Alarms,37.7788798213,-122.43356996360001
3583,Alarms,37.7783718576,-122.4342408374
3589,Alarms,37.7459562954,-122.4542399076
3594,Alarms,37.7783718576,-122.4342408374
3602,Alarms,37.7911188031,-122.4167580058
3603,Alarms,37.784807388699996,-122.4136154383
3607,Alarms,37.7831634271,-122.4115992789
3619,Alarms,37.784091036199996,-122.41178436950001
3622,Alarms,37.782448498200004,-122.41632744180001
3623,Alarms,37.783167663899995,-122.39782549530001
3627,Alarms,37.7878246694,-122.3970324365
3649,Alarms,37.7834768404,-122.4124351407
3678,Alarms,37.783167663899995,-122.39782549530001
3689,Alarms,37.7980228452,-122.4058632126
3696,Alarms,37.784807388699996,-122.4136154383
3707,Alarms,37.7921242439,-122.42352828959999
3717,Alarms,37.7817609081,-122.415105135
3723,Alarms,37.783260386100004,-122.4183661542
3753,Alarms,37.7878246694,-122.3970324365
3778,Alarms,37.718722285700004,-122.389118325
3780,Alarms,37.7459562954,-122.4542399076
3788,Alarms,37.7817609081,-122.415105135
3807,Alarms,37.7632907519,-122.46203463719999
3816,Alarms,37.7831634271,-122.4115992789
3829,Alarms,37.7911188031,-122.4167580058
3849,Alarms,37.7632907519,-122.46203463719999
3850,Alarms,37.7851111082,-122.4145920383
3872,Alarms,37.718722285700004,-122.389118325
3878,Alarms,37.7753529597,-122.42934454450001
3883,Alarms,37.7911188031,-122.4167580058
3899,Alarms,37.7783718576,-122.4342408374
3922,Alarms,37.7870654664,-122.4131598167
3934,Alarms,37.7688930096,-122.42438060559999
3936,Alarms,37.7783718576,-122.4342408374
3938,Alarms,37.7570337297,-122.476758437
3946,Alarms,37.7817609081,-122.415105135
3957,Alarms,37.7921242439,-122.42352828959999
3971,Alarms,37.784091036199996,-122.41178436950001
3983,Alarms,37.7788798213,-122.43356996360001
4016,Alarms,37.786566734299996,-122.4072283818
4022,Alarms,37.7918843298,-122.409983572
4068,Alarms,37.7459562954,-122.4542399076
4085,Alarms,37.7831634271,-122.4115992789
4107,Alarms,37.7921242439,-122.42352828959999
4127,Alarms,37.7753529597,-122.42934454450001
4128,Alarms,37.7632907519,-122.46203463719999
4134,Alarms,37.7831634271,-122.4115992789
4135,Alarms,37.7753529597,-122.42934454450001
4154,Alarms,37.786973316,-122.425845943
4172,Alarms,37.786566734299996,-122.4072283818
4176,Alarms,37.7918843298,-122.409983572
4187,Alarms,37.7940625557,-122.4083227882
4200,Alarms,37.771114344299995,-122.39036821260001
4210,Alarms,37.7862684417,-122.41299723590001
4213,Alarms,37.771114344299995,-122.39036821260001
4215,Alarms,37.771114344299995,-122.39036821260001
4220,Alarms,37.798713995199996,-122.4096183311
4225,Alarms,37.7862684417,-122.41299723590001
4232,Alarms,37.7950840598,-122.4073868893
4237,Alarms,37.7919873998,-122.3977335533
4238,Alarms,37.8044382972,-122.41160547610001
4240,Alarms,37.7823404681,-122.4037719167
4241,Alarms,37.783838518,-122.41377551209999
4265,Alarms,37.7495954457,-122.39967876809999
4272,Alarms,37.7301394309,-122.43226889440001
4276,Alarms,37.768462245900004,-122.4312048785
4281,Alarms,37.8029850566,-122.4122222317
4283,Alarms,37.7733723701,-122.4434015735
4321,Alarms,37.7733933056,-122.43911438549999
4328,Alarms,37.770198458,-122.38957826549999
4347,Alarms,37.8029850566,-122.4122222317
4353,Alarms,37.7950840598,-122.4073868893
4360,Alarms,37.771114344299995,-122.39036821260001
4371,Alarms,37.7919873998,-122.3977335533
4379,Alarms,37.7709133373,-122.4203049943
4400,Alarms,37.768462245900004,-122.4312048785
4404,Alarms,37.7668213317,-122.428814858
4408,Alarms,37.770198458,-122.38957826549999
4409,Alarms,37.7764944809,-122.4113591384
4416,Alarms,37.7473004189,-122.4269378978
4419,Alarms,37.7862684417,-122.41299723590001
4429,Alarms,37.7495954457,-122.39967876809999
4433,Alarms,37.7862684417,-122.41299723590001
4447,Alarms,37.7709133373,-122.4203049943
4449,Alarms,37.798713995199996,-122.4096183311
4470,Alarms,37.7826355124,-122.4148628273
4479,Alarms,37.7495118728,-122.4236845602
4488,Alarms,37.767244221,-122.5102257491
4491,Alarms,37.783838518,-122.41377551209999
4506,Alarms,37.7303132169,-122.4862054383
4521,Alarms,37.8029850566,-122.4122222317
4528,Alarms,37.7733723701,-122.4434015735
4537,Alarms,37.7826355124,-122.4148628273
4541,Alarms,37.7940625557,-122.4083227882
4550,Alarms,37.793716564200004,-122.43227948030001
4565,Alarms,37.7826355124,-122.4148628273
4568,Alarms,37.768462245900004,-122.4312048785
4570,Alarms,37.771114344299995,-122.39036821260001
4588,Alarms,37.7303132169,-122.4862054383
4610,Alarms,37.8044382972,-122.41160547610001
4629,Alarms,37.7945675421,-122.4074578085
4632,Alarms,37.7839808801,-122.42019700549999
4641,Alarms,37.793716564200004,-122.43227948030001
4649,Alarms,37.770198458,-122.38957826549999
4657,Alarms,37.798713995199996,-122.4096183311
4669,Alarms,37.783838518,-122.41377551209999
4671,Alarms,37.8044382972,-122.41160547610001
4673,Alarms,37.7668213317,-122.428814858
4676,Alarms,37.7826355124,-122.4148628273
4677,Alarms,37.7301394309,-122.43226889440001
4692,Alarms,37.7823404681,-122.4037719167
4702,Alarms,37.7764944809,-122.4113591384
